accepteur,age,credit1M,isFraude,nbTransactions1h,nbTransactions24h,securizedTransaction
AIRFRANCE,52,2800,0,0,4,False
GOOGLE,74,1600,0,3,3,False
PAYPAL,26,1500,0,0,7,False
LEBONCOIN,46,2600,0,1,2,False
LEBONCOIN,51,2483,0,0,0,False
AMAZON,50,6300,0,0,0,True
AMAZON,41,3100,0,0,1,False
ZARA,54,1730,0,0,0,False
AMAZON,44,7000,0,0,1,True
GOOGLE,43,1025,0,0,0,False
LEBONCOIN,45,706,0,0,1,True
UBER,37,1727,0,1,1,False
GOOGLE,19,800,0,0,0,False
LEBONCOIN,22,1300,0,1,2,False
GOOGLE,24,1100,0,0,0,False
GOOGLE,21,600,0,0,2,False
AMAZON,47,684,0,0,0,False
AIRFRANCE,81,1600,0,0,1,False
ZARA,49,2600,0,1,1,False
GOOGLE,18,1100,0,0,1,False
AMAZON,41,5800,0,0,1,True
LEBONCOIN,46,867,0,0,1,False
AMAZON,64,3300,0,0,1,False
HM,41,2300,0,0,2,False
ZARA,41,1900,0,0,0,False
UBER,35,3400,0,3,3,False
LEBONCOIN,42,893,0,0,1,False
LEBONCOIN,24,300,0,0,2,True
AIRFRANCE,59,7400,0,0,1,True
GOOGLE,23,900,0,1,2,False
GOOGLE,87,2200,0,3,5,False
LEBONCOIN,43,927,0,0,1,True
GOOGLE,21,1400,0,1,1,False
AIRFRANCE,43,1855,0,1,1,True
UBER,24,1100,0,4,7,False
AMAZON,66,7600,0,0,1,False
AIRFRANCE,71,1400,0,0,1,False
GOOGLE,38,823,0,0,0,True
GOOGLE,23,3600,0,2,3,False
AMAZON,69,3600,0,0,0,False
LEBONCOIN,50,746,0,0,0,False
AMAZON,47,575,0,0,1,False
GOOGLE,29,2400,0,0,6,False
AIRFRANCE,76,1800,0,0,9,False
GOOGLE,23,1700,0,1,8,True
GOOGLE,74,2700,0,1,1,False
GOOGLE,53,3000,1,4,11,True
UBER,25,1700,0,1,9,False
AMAZON,43,4400,0,0,0,False
HM,37,1731,0,1,1,True
GOOGLE,25,1600,0,2,4,False
UBER,27,2459,0,0,0,False
AMAZON,46,1127,0,0,1,False
EASYJET,79,1100,0,0,0,False
LEBONCOIN,40,768,0,0,0,False
GOOGLE,23,500,0,0,0,True
HM,53,2008,0,0,0,False
LEBONCOIN,27,1500,0,1,6,False
HM,21,700,0,0,0,True
EASYJET,86,1700,0,0,1,False
UBER,27,1700,0,1,2,False
AMAZON,31,2600,0,0,0,False
AIRFRANCE,86,700,0,0,1,False
GOOGLE,40,991,0,0,1,False
GOOGLE,21,3200,0,1,9,False
GOOGLE,23,600,0,1,1,False
AIRFRANCE,49,3800,0,0,0,True
GOOGLE,27,1400,0,1,2,False
GOOGLE,22,2300,0,0,2,True
EASYJET,84,800,0,0,0,False
HM,22,1000,0,1,1,False
GOOGLE,23,2100,0,0,0,False
EASYJET,66,1700,0,0,0,False
PAYPAL,23,2100,0,0,0,True
HM,49,1200,0,0,3,False
ZARA,36,2100,0,1,2,False
EASYJET,39,2731,0,1,1,False
AMAZON,42,1073,0,0,0,False
HM,23,400,0,0,0,True
GOOGLE,46,756,0,0,1,False
LEBONCOIN,24,400,0,1,1,True
AMAZON,38,709,0,0,1,True
AMAZON,31,2370,0,0,1,True
UBER,25,2014,0,1,1,False
GOOGLE,25,1600,0,0,8,False
AIRFRANCE,88,1700,0,0,1,True
AMAZON,39,569,0,0,1,False
